  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -4.005e-02 -6.554e-02 5.9336e-03  3.446e-01  3.168e-01 5.8332e-03 -4.811e-03 -2.627e-02 5.9215e-03  4.562e-04 -8.555e-02 5.8486e-03  1.147e-02  5.898e-02 5.8013e-03 0.0000e+00 0.0000e+00 -3.6174e-02 1.8929e-03 1.6434e-01 1.4665e-02 3.3518e-01 4.3710e+00 3.0955e+00 7.8855e-01
   2    0 -5.726e-02 -6.635e-02 3.7197e-03  3.704e-01  3.675e-01 3.6528e-03 -9.081e-03  1.220e-03 3.6892e-03 -1.769e-04 -2.946e-02 3.5965e-03  1.878e-02  6.987e-02 3.5633e-03 0.0000e+00 0.0000e+00 1.4300e-02 1.4422e-03 2.4960e-01 2.8463e-02 3.8688e-01 4.8121e+00 2.9142e+00 7.6297e-01
   3    0 -6.100e-02 -6.353e-02 3.0480e-03  3.945e-01  3.706e-01 2.9842e-03 -1.049e-02 -6.107e-03 3.0165e-03 -4.954e-04 -2.599e-02 2.9239e-03  2.393e-02  5.246e-02 2.8993e-03 0.0000e+00 0.0000e+00 -1.1941e-02 1.5773e-03 3.4717e-01 4.1496e-02 4.3510e-01 5.2912e+00 2.7858e+00 7.3565e-01
   4    0 -5.873e-02 -6.153e-02 2.7551e-03  4.090e-01  3.711e-01 2.6894e-03 -1.021e-02  2.167e-03 2.7193e-03 -6.026e-04 -1.403e-02 2.6420e-03  2.694e-02  5.116e-02 2.6240e-03 0.0000e+00 0.0000e+00 -2.3879e-02 1.9715e-03 4.4635e-01 5.1856e-02 4.7573e-01 5.8073e+00 2.7023e+00 7.0993e-01
   5    0 -5.628e-02 -5.736e-02 2.5193e-03  4.177e-01  3.716e-01 2.4559e-03 -9.810e-03  5.681e-03 2.4812e-03 -1.118e-03 -9.956e-03 2.4246e-03  2.931e-02  4.869e-02 2.4102e-03 0.0000e+00 0.0000e+00 -1.1415e-02 1.9844e-03 5.8506e-01 6.4277e-02 5.2139e-01 6.4122e+00 2.6061e+00 6.7229e-01
   6    0 -5.845e-02 -5.810e-02 2.4307e-03  4.174e-01  3.731e-01 2.3679e-03 -1.072e-02  5.288e-03 2.3904e-03 -2.019e-03 -1.046e-02 2.3453e-03  3.452e-02  5.030e-02 2.3320e-03 0.0000e+00 0.0000e+00 1.6315e-02 3.0790e-03 8.0271e-01 9.3735e-02 5.6990e-01 6.9898e+00 2.4858e+00 6.0415e-01
   7    0 -7.011e-02 -5.813e-02 2.4254e-03  3.993e-01  3.730e-01 2.3623e-03 -1.596e-02  5.386e-03 2.3847e-03 -3.173e-03 -1.010e-02 2.3403e-03  4.656e-02  5.057e-02 2.3270e-03 0.0000e+00 0.0000e+00 -8.0107e-02 1.1434e-02 1.0736e+00 1.7948e-01 5.8946e-01 7.2163e+00 2.4375e+00 4.7525e-01
