  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -5.051e-02 -2.072e-02 3.8644e-03  3.623e-01  3.405e-01 3.8155e-03 -7.388e-03 -3.150e-04 3.8404e-03  6.511e-05  9.336e-03 3.7554e-03  1.609e-02  9.934e-03 3.7302e-03 0.0000e+00 0.0000e+00 -1.0155e-02 1.2107e-03 2.1723e-01 2.3263e-02 3.6755e-01 4.6580e+00 2.9979e+00 7.7652e-01
   2    0 -6.252e-02 -2.855e-02 3.2006e-03  3.938e-01  3.407e-01 3.1489e-03 -1.090e-02  6.218e-03 3.1697e-03 -5.417e-04  1.376e-02 3.0742e-03  2.439e-02  1.529e-02 3.0635e-03 0.0000e+00 0.0000e+00 1.2655e-02 1.6967e-03 3.4787e-01 4.2839e-02 4.3098e-01 5.2849e+00 2.8012e+00 7.3467e-01
   3    0 -6.052e-02 -3.442e-02 2.8937e-03  4.065e-01  3.487e-01 2.8371e-03 -1.083e-02  5.520e-03 2.8585e-03 -6.925e-04  1.427e-02 2.7795e-03  2.731e-02  2.141e-02 2.7689e-03 0.0000e+00 0.0000e+00 -2.6323e-03 2.0798e-03 4.4636e-01 5.3631e-02 4.6887e-01 5.7535e+00 2.7070e+00 7.0645e-01
   4    0 -5.929e-02 -3.911e-02 2.7301e-03  4.127e-01  3.543e-01 2.6717e-03 -1.078e-02  4.623e-03 2.6952e-03 -1.025e-03  9.530e-03 2.6271e-03  2.946e-02  2.313e-02 2.6189e-03 0.0000e+00 0.0000e+00 -2.0286e-02 2.6117e-03 5.4613e-01 6.3906e-02 5.0103e-01 6.1705e+00 2.6312e+00 6.7771e-01
   5    0 -5.918e-02 -4.248e-02 2.5802e-03  4.166e-01  3.547e-01 2.5208e-03 -1.095e-02  2.430e-03 2.5442e-03 -1.642e-03  9.112e-03 2.4908e-03  3.214e-02  2.267e-02 2.4831e-03 0.0000e+00 0.0000e+00 -6.0840e-03 2.5689e-03 6.8637e-01 7.8987e-02 5.3727e-01 6.6214e+00 2.5442e+00 6.3999e-01
   6    0 -6.277e-02 -4.551e-02 2.5213e-03  4.106e-01  3.586e-01 2.4615e-03 -1.249e-02  2.667e-03 2.4840e-03 -2.371e-03  9.567e-03 2.4385e-03  3.766e-02  2.505e-02 2.4319e-03 0.0000e+00 0.0000e+00 -1.7899e-02 4.0658e-03 9.0089e-01 1.1227e-01 5.6843e-01 6.9325e+00 2.4114e+00 5.6772e-01
   7    0 -6.952e-02 -4.633e-02 2.5165e-03  4.032e-01  3.587e-01 2.4569e-03 -1.511e-02  1.520e-03 2.4790e-03 -3.052e-03  8.455e-03 2.4342e-03  4.414e-02  2.451e-02 2.4280e-03 0.0000e+00 0.0000e+00 -1.2748e-01 1.4748e-02 1.1665e+00 1.6064e-01 5.9011e-01 7.0342e+00 2.2858e+00 4.9851e-01
   8    0       -nan -4.633e-02 2.5165e-03       -nan  3.587e-01 2.4569e-03       -nan  1.520e-03 2.4790e-03       -nan  8.455e-03 2.4342e-03       -nan  2.451e-02 2.4280e-03 0.0000e+00 0.0000e+00       -nan        inf       -nan       -nan       -nan       -nan       -nan       -nan
