  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -2.603e-02 -1.707e-02 3.5860e-03  3.939e-01  3.745e-01 3.5310e-03 -2.071e-03 -2.198e-02 3.5589e-03  6.793e-04  1.876e-02 3.5359e-03  1.064e-02  1.118e-02 3.5447e-03 0.0000e+00 0.0000e+00 -7.9363e-03 1.1614e-03 3.0757e-01 1.1302e-02 4.2740e-01 5.2570e+00 2.8246e+00 7.7645e-01
   2    0 -6.527e-02 -2.497e-02 2.9120e-03  3.882e-01  3.694e-01 2.8501e-03 -9.505e-03 -1.942e-02 2.8757e-03 -4.644e-04  1.371e-02 2.8752e-03  2.420e-02  1.048e-02 2.8696e-03 0.0000e+00 0.0000e+00 -7.5092e-03 1.6156e-03 3.6770e-01 3.6262e-02 4.3401e-01 5.3686e+00 2.8065e+00 7.4040e-01
   3    0 -8.654e-02 -3.654e-02 2.7027e-03  3.810e-01  3.665e-01 2.6410e-03 -1.539e-02 -3.981e-03 2.6661e-03 -1.424e-03  7.516e-03 2.6514e-03  3.343e-02  1.911e-02 2.6472e-03 0.0000e+00 0.0000e+00 -2.0279e-02 2.1839e-03 4.1271e-01 6.1249e-02 4.3533e-01 5.4100e+00 2.7957e+00 7.0297e-01
   4    0 -9.752e-02 -3.929e-02 2.6144e-03  3.759e-01  3.645e-01 2.5534e-03 -1.996e-02 -3.553e-03 2.5773e-03 -2.213e-03  7.547e-03 2.5509e-03  3.990e-02  1.812e-02 2.5449e-03 0.0000e+00 0.0000e+00 1.5065e-02 2.8661e-03 4.6265e-01 8.6358e-02 4.3875e-01 5.4868e+00 2.7912e+00 6.6562e-01
   5    0 -1.026e-01 -4.392e-02 2.5470e-03  3.709e-01  3.609e-01 2.4875e-03 -2.415e-02  8.404e-04 2.5099e-03 -3.058e-03  7.176e-03 2.4709e-03  4.586e-02  2.031e-02 2.4648e-03 0.0000e+00 0.0000e+00 3.9657e-03 3.0001e-03 5.3984e-01 1.2064e-01 4.4550e-01 5.6279e+00 2.7820e+00 6.1192e-01
   6    0 -1.037e-01 -4.625e-02 2.5256e-03  3.646e-01  3.590e-01 2.4661e-03 -2.826e-02  1.778e-03 2.4889e-03 -3.937e-03  7.503e-03 2.4448e-03  5.170e-02  2.221e-02 2.4388e-03 0.0000e+00 0.0000e+00 -1.4684e-02 5.0276e-03 6.5046e-01 1.7140e-01 4.5324e-01 5.8093e+00 2.7740e+00 5.3228e-01
   7    0 -1.026e-01 -4.621e-02 2.5175e-03  3.575e-01  3.587e-01 2.4583e-03 -3.092e-02  2.232e-03 2.4807e-03 -4.548e-03  7.217e-03 2.4352e-03  5.505e-02  2.314e-02 2.4293e-03 0.0000e+00 0.0000e+00 3.7473e-02 8.2457e-03 7.5047e-01 2.2119e-01 4.5646e-01 5.9429e+00 2.7751e+00 4.5520e-01
   8    0 -1.032e-01 -4.653e-02 2.5127e-03  3.433e-01  3.587e-01 2.4536e-03 -3.515e-02  2.274e-03 2.4758e-03 -5.171e-03  7.274e-03 2.4297e-03  5.647e-02  2.364e-02 2.4237e-03 0.0000e+00 0.0000e+00 1.2718e-01 1.0687e-02 8.4979e-01 2.8528e-01 4.4761e-01 5.8779e+00 2.7885e+00 3.7110e-01
   9    0 -1.047e-01 -4.663e-02 2.5118e-03  3.151e-01  3.585e-01 2.4528e-03 -4.406e-02  2.028e-03 2.4747e-03 -6.526e-03  7.092e-03 2.4287e-03  5.508e-02  2.369e-02 2.4226e-03 0.0000e+00 0.0000e+00 2.4528e-01 2.4564e-02 9.7932e-01 4.1206e-01 4.1694e-01 5.4632e+00 2.8765e+00 2.5523e-01
