  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -2.263e-02 -4.761e-02 4.0437e-03  3.932e-01  4.131e-01 3.9576e-03 -1.521e-03 -4.144e-03 3.9921e-03  7.547e-04 -1.172e-02 3.9138e-03  9.507e-03  2.714e-02 3.9007e-03 0.0000e+00 0.0000e+00 -1.0131e-02 1.2399e-03 3.0386e-01 1.4033e-02 4.2524e-01 5.2182e+00 2.8174e+00 7.7716e-01
   2    0 -5.694e-02 -5.804e-02 2.9939e-03  3.907e-01  3.766e-01 2.9074e-03 -7.756e-03  1.458e-02 2.9281e-03 -1.761e-04 -1.881e-02 2.9434e-03  2.111e-02  5.097e-02 2.9273e-03 0.0000e+00 0.0000e+00 -2.8417e-02 1.4766e-03 3.6249e-01 3.6340e-02 4.3553e-01 5.3639e+00 2.8086e+00 7.4829e-01
   3    0 -7.976e-02 -6.087e-02 2.6939e-03  3.830e-01  3.767e-01 2.6157e-03 -1.355e-02  1.165e-02 2.6373e-03 -1.096e-03 -1.524e-02 2.6456e-03  3.030e-02  5.217e-02 2.6310e-03 0.0000e+00 0.0000e+00 2.4459e-02 1.9658e-03 3.9882e-01 6.1458e-02 4.3322e-01 5.3726e+00 2.8132e+00 7.1563e-01
   4    0 -9.110e-02 -5.673e-02 2.5751e-03  3.791e-01  3.745e-01 2.5018e-03 -1.779e-02  6.682e-03 2.5241e-03 -1.836e-03 -1.093e-02 2.5154e-03  3.659e-02  5.120e-02 2.5023e-03 0.0000e+00 0.0000e+00 2.0566e-02 2.5581e-03 4.4425e-01 8.6562e-02 4.3594e-01 5.4515e+00 2.8205e+00 6.8374e-01
   5    0 -9.448e-02 -5.841e-02 2.4854e-03  3.758e-01  3.726e-01 2.4173e-03 -2.091e-02  5.282e-03 2.4394e-03 -2.494e-03 -9.492e-03 2.4128e-03  4.133e-02  5.240e-02 2.3992e-03 0.0000e+00 0.0000e+00 -3.1590e-02 2.6058e-03 5.0897e-01 1.2084e-01 4.3982e-01 5.5606e+00 2.8210e+00 6.4177e-01
   6    0 -9.037e-02 -5.844e-02 2.4567e-03  3.751e-01  3.730e-01 2.3904e-03 -2.201e-02  5.159e-03 2.4126e-03 -2.939e-03 -1.098e-02 2.3780e-03  4.428e-02  5.092e-02 2.3646e-03 0.0000e+00 0.0000e+00 2.6384e-02 4.2165e-03 6.0431e-01 1.7118e-01 4.4530e-01 5.7164e+00 2.8226e+00 5.9107e-01
   7    0 -8.664e-02 -5.838e-02 2.4448e-03  3.738e-01  3.733e-01 2.3795e-03 -2.203e-02  4.809e-03 2.4015e-03 -3.040e-03 -1.029e-02 2.3632e-03  4.464e-02  5.011e-02 2.3504e-03 0.0000e+00 0.0000e+00 -4.8509e-02 6.3905e-03 6.7980e-01 2.2208e-01 4.4275e-01 5.7505e+00 2.8404e+00 5.5829e-01
   8    0 -8.094e-02 -5.902e-02 2.4348e-03  3.742e-01  3.727e-01 2.3705e-03 -2.082e-02  5.936e-03 2.3926e-03 -2.700e-03 -1.074e-02 2.3517e-03  4.053e-02  5.037e-02 2.3386e-03 0.0000e+00 0.0000e+00 2.5741e-03 7.0940e-03 7.3546e-01 2.9057e-01 4.2427e-01 5.5368e+00 2.8995e+00 5.6758e-01
   9    0 -7.422e-02 -5.837e-02 2.4327e-03  3.746e-01  3.728e-01 2.3687e-03 -1.761e-02  5.412e-03 2.3908e-03 -1.913e-03 -9.919e-03 2.3493e-03  3.380e-02  5.031e-02 2.3360e-03 0.0000e+00 0.0000e+00 4.2583e-02 1.5714e-02 7.6169e-01 3.7293e-01 3.9155e-01 5.1090e+00 2.9688e+00 6.2269e-01
  10    0 -7.705e-02 -5.839e-02 2.4301e-03  3.740e-01  3.724e-01 2.3666e-03 -1.935e-02  5.697e-03 2.3885e-03 -2.062e-03 -1.057e-02 2.3461e-03  3.340e-02  5.010e-02 2.3331e-03 0.0000e+00 0.0000e+00 2.7127e-02 1.4344e-02 8.3545e-01 4.7113e-01 3.6820e-01 4.8261e+00 3.0451e+00 6.2868e-01
  11    0       -nan -5.839e-02 2.4301e-03       -nan  3.724e-01 2.3666e-03       -nan  5.697e-03 2.3885e-03       -nan -1.057e-02 2.3461e-03       -nan  5.010e-02 2.3331e-03 0.0000e+00 0.0000e+00       -nan        inf       -nan       -nan       -nan       -nan       -nan       -nan
